,sentence_id,word_len,word
1262,62,10,proclaimed
1263,62,2,it
1264,62,6,plague
1265,62,4,upon
1266,62,6,seeing
1267,62,5,these
1268,62,5,queer
1269,62,5,welts
1270,62,4,upon
1271,62,3,the
1272,62,5,boy’s
1273,62,4,neck
1274,73,3,Her
1275,73,6,mother
1276,73,5,spent
1277,73,3,all
1278,73,3,day
1279,73,3,and
1280,73,4,most
1281,73,6,nights
1282,73,7,working
1283,73,2,to
1284,73,5,bring
1285,73,2,in
1286,73,5,their
1287,73,6,meager
1288,73,8,pittance
1289,83,8,Friendly
1290,83,3,and
1291,83,11,inquisitive
1292,83,3,she
1293,83,6,showed
1294,83,4,true
1295,83,5,signs
1296,83,2,of
1297,83,6,genius
1298,83,3,and
1299,83,8,maturity
1300,83,3,for
1301,83,3,her
1302,83,5,young
1303,83,3,age
1304,84,1,I
1305,84,5,often
1306,84,7,fancied
1307,84,4,that
1308,84,3,her
1309,84,6,father
1310,84,3,had
1311,84,7,somehow
1312,84,5,found
1313,84,1,a
1314,84,3,way
1315,84,2,to
1316,84,5,place
1317,84,3,his
1318,84,4,vast
1319,84,9,intellect
1320,84,4,into
1321,84,3,her
1322,84,10,adolescent
1323,84,5,brain
1324,87,3,The
1325,87,8,doctor’s
1326,87,6,report
1327,87,3,was
1328,87,5,queer
1329,87,2,in
1330,87,3,the
1331,87,4,fact
1332,87,4,that
1333,87,4,even
1334,87,6,though
1335,87,3,six
1336,87,5,welts
1337,87,4,were
1338,66,8,father’s
1339,66,4,hand
1340,66,2,as
1341,66,3,her
1342,66,6,mother
1343,66,5,cried
1344,66,12,inconsolable
1345,66,2,on
1346,66,3,her
1347,66,5,knees
1348,69,3,Not
1349,69,6,simply
1350,69,1,a
1351,69,4,lack
1352,69,2,of
1353,69,7,emotion
1354,69,3,but
1355,69,3,the
1356,69,12,indifference
1357,69,2,of
1358,69,3,the
1359,69,5,stare
1360,69,8,directed
1361,69,2,at
1362,69,1,a
1363,69,4,slab
1364,69,2,of
1365,69,7,granite
1366,72,3,She
1367,72,3,was
1368,72,3,not
1369,72,7,allowed
1370,72,3,out
1371,72,2,of
1372,72,3,the
1373,72,5,house
1374,72,3,and
1375,72,3,the
1376,72,8,children
1377,72,6,feared
1378,72,3,her
1379,78,3,Mad
1380,78,6,things
1381,78,2,to
1382,78,3,say
1383,78,1,I
1384,78,5,"know,"
1385,78,3,but
1386,78,4,what
1387,78,4,will
1388,78,3,the
1389,78,10,uneducated
1390,78,5,think
1391,78,2,in
1392,78,5,times
1393,78,4,like
1394,78,5,these
1395,81,1,I
1396,81,5,often
1397,81,5,found
1398,81,6,myself
1399,81,4,with
1400,81,4,just
1401,81,6,little
1402,81,7,Heather
1403,81,3,for
1404,81,8,"company,"
1405,81,2,as
1406,81,5,Susan
1407,81,6,worked
1408,81,2,an
1409,81,9,uncounted
1410,81,6,number
1411,81,2,of
1412,81,4,jobs
1413,81,3,and
1414,81,7,Bernard
1415,81,5,would
1416,81,3,not
1417,81,2,be
1418,81,6,pulled
1419,81,5,alive
1420,81,4,from
1421,81,3,his
1422,81,5,study
1423,88,4,With
1424,88,5,times
1425,88,2,as
1426,88,4,they
1427,88,4,were
1428,88,3,the
1429,88,8,citizens
1430,88,5,would
1431,88,4,have
1432,88,2,no
1433,88,9,questions
1434,88,2,or
1435,88,11,hesitations
1436,88,4,when
1437,88,2,it
1438,88,4,came
1439,88,2,to
1440,88,1,a
1441,88,9,potential
1442,88,6,plague
1443,88,6,victim
1444,89,5,Susan
1445,89,3,was
1446,89,6,burned
1447,89,3,the
1448,89,4,same
1449,89,3,day
1450,89,3,she
1451,89,3,was
1452,89,5,found
1453,101,4,Only
1454,101,3,the
1455,101,7,curious
1456,101,2,or
1457,101,3,mad
1458,101,6,neared
1459,101,3,the
1460,101,5,house
1461,101,4,only
1462,101,2,to
1463,101,4,turn
1464,101,4,away
1465,101,2,at
1466,101,3,the
1467,101,7,rotting
1468,101,6,wooden
1469,101,4,gate
1470,31,0,
1471,104,3,For
1472,71,3,now
1473,71,3,had
1474,71,2,no
1475,71,3,one
1476,71,3,and
1477,71,4,this
1478,71,6,people
1479,71,3,say
1480,71,6,seemed
1481,71,2,to
1482,71,4,hurt
1483,71,3,her
1484,71,3,the
1485,71,4,most
1486,74,3,Her
1487,74,7,"father,"
1488,74,4,even
1489,74,6,though
1490,74,2,in
1491,74,3,the
1492,74,4,same
1493,74,5,house
1494,74,4,with
1495,74,4,"her,"
1496,74,6,rarely
1497,74,4,came
1498,74,3,out
1499,74,2,of
1500,74,3,his
1501,74,5,study
1502,77,6,Rumors
1503,77,6,milled
1504,77,5,about
1505,77,4,that
1506,77,7,Heather
1507,77,3,was
1508,77,6,naught
1509,77,3,but
1510,77,1,a
1511,77,5,shell
1512,77,4,that
1513,77,3,her
1514,77,6,father
1515,77,6,filled
1516,77,4,with
1517,77,6,stolen
1518,77,5,souls
1519,77,2,of
1520,77,5,those
1521,77,5,taken
1522,77,2,by
1523,77,3,the
1524,77,6,plague
1525,86,1,A
1526,86,4,week
1527,86,5,after
1528,86,13,Maxamillion’s
1529,86,6,"death,"
1530,86,5,their
1531,86,7,"mother,"
1532,86,6,"Susan,"
1533,86,3,was
1534,86,6,struck
1535,86,4,down
1536,86,2,by
1537,86,3,the
1538,86,4,same
1539,86,7,strange
1540,86,6,plague
1541,95,11,Forgiveness
1542,95,6,seemed
1543,95,2,to
1544,95,4,boil
1545,95,4,over
